name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Battle Creek Regional Park East,United States,Minnesota,"Maplewood;Woodbury",operating,no,yes,,7,37,280,317,,,north_america,,https://www.ramseycounty.us/residents/parks-recreation/programs-activities/self-guided-activities/cross-country-skiing,https://openskimap.org/?obj=00a251d44a9f0522b877c414d3694ae2b9a6edf5,00a251d44a9f0522b877c414d3694ae2b9a6edf5,Point,44.938121,-92.995173,https://www.openstreetmap.org/relation/18021011
Hunter Mountain,United States,New York,Hunter,operating,yes,no,27,,469,500,969,10,2,north_america,,https://www.huntermtn.com,https://openskimap.org/?obj=00a3d696640741b896c390bba01c30aecebdc52d,00a3d696640741b896c390bba01c30aecebdc52d,Polygon,42.201891,-74.218420,https://www.openstreetmap.org/relation/14322044 https://www.skimap.org/SkiAreas/view/315
,Sweden,Vasternorrland,Härnösand,operating,no,yes,,17,65,37,102,,,europe,,,https://openskimap.org/?obj=00a5c254-6d8d-44f6-86e4-6e1b4c5a556e,00a5c254-6d8d-44f6-86e4-6e1b4c5a556e,Point,62.644661,17.875552,
Hemavan,Sweden,Vasterbotten County,,,no,yes,,7,32,471,503,,,europe,,,https://openskimap.org/?obj=00a60b44cee839f1cf9f265a503ff5b4f5d9693b,00a60b44cee839f1cf9f265a503ff5b4f5d9693b,Point,65.806382,15.108089,https://www.skimap.org/SkiAreas/view/2010
,Czechia,Moravian-Silesian,,operating,yes,no,0,,74,675,749,2,2,europe,,,https://openskimap.org/?obj=00ad2109-dc7f-4f69-9bb7-9851e3182fda,00ad2109-dc7f-4f69-9bb7-9851e3182fda,Point,49.970867,17.226034,
,Canada,Alberta,,operating,no,yes,,8,37,862,899,,,north_america,,,https://openskimap.org/?obj=00adadcd-bc34-4739-bf60-bcce37b399a2,00adadcd-bc34-4739-bf60-bcce37b399a2,Point,53.025992,-114.154639,
Hurdal Skisenter,Norway,Viken,,operating,yes,no,5,,222,301,523,4,4,europe,,https://skihurdal.no/,https://openskimap.org/?obj=00add16ceef138769d29cbab99336842b8d6421f,00add16ceef138769d29cbab99336842b8d6421f,Point,60.463445,11.073409,https://www.openstreetmap.org/relation/3585655 https://www.skimap.org/SkiAreas/view/14342
Skijalište Kozara,Bosnia and Herzegovina,Republic of Srpska,,operating,yes,no,1,,122,665,787,1,1,europe,,https://kozaraski.com/,https://openskimap.org/?obj=00b24f9b2d9c482b26e337f75b37abd8f30666ca,00b24f9b2d9c482b26e337f75b37abd8f30666ca,Point,45.016507,16.902803,https://www.openstreetmap.org/relation/10515881 https://www.skimap.org/SkiAreas/view/13261
,Poland,Silesian Voivodeship,Bielsko-Biala,operating,no,yes,,12,510,398,908,,,europe,,,https://openskimap.org/?obj=00b7700d-a243-430a-b2d8-c898b5519df1,00b7700d-a243-430a-b2d8-c898b5519df1,Point,49.780781,19.121129,
"みやぎ蔵王セントメリースキー場, St. Mary",Japan,Miyagi Prefecture,,operating,yes,no,3,,488,450,938,,,japan,Q20045318,https://stmary-338.com/,https://openskimap.org/?obj=00b9354f4669c6aa3a0c2ace8a27a89a30c74e13,00b9354f4669c6aa3a0c2ace8a27a89a30c74e13,Polygon,38.215796,140.511266,https://www.openstreetmap.org/way/482859023 https://www.skimap.org/SkiAreas/view/1374
,Finland,North Karelen,Rääkkylä,operating,no,yes,,3,15,76,91,,,europe,,,https://openskimap.org/?obj=00c1d7aa-a0d3-44fe-95f3-e64afd77f615,00c1d7aa-a0d3-44fe-95f3-e64afd77f615,Point,62.321258,29.597101,
"戸隠スキー場, Togakushi Ski Area",Japan,Nagano Prefecture,,operating,yes,no,15,,440,1304,1744,7,,japan,,https://www.togakusi.com/,https://openskimap.org/?obj=00c448606843596d8809c66f788c9612241d46b9,00c448606843596d8809c66f788c9612241d46b9,Polygon,36.748956,138.101505,https://www.openstreetmap.org/way/936983347 https://www.skimap.org/SkiAreas/view/1678
Lanzo d'Intelvi,Italy,Como,,operating,yes,no,1,,111,1087,1198,3,3,europe,,,https://openskimap.org/?obj=00c7a46c8260b480b7b6709f4d4f4fc2b546a63c,00c7a46c8260b480b7b6709f4d4f4fc2b546a63c,Polygon,45.970422,9.008894,https://www.openstreetmap.org/way/1227363603
,Canada,Quebec,Quebec,operating,no,yes,,6,19,124,143,,,north_america,,,https://openskimap.org/?obj=00c8c543-81fe-42ca-b44f-91c256567199,00c8c543-81fe-42ca-b44f-91c256567199,Point,46.903288,-71.180541,
,Estonia,Tartu,,operating,no,yes,,2,29,51,80,,,europe,,,https://openskimap.org/?obj=00cd5f47-e887-44a8-b742-d9f15ce3b574,00cd5f47-e887-44a8-b742-d9f15ce3b574,Point,58.504692,26.707667,
,Sweden,Vasternorrland,Sundsvall,operating,no,yes,,32,113,13,126,,,europe,,,https://openskimap.org/?obj=00cdc4ef-2083-4d1e-9324-66f7de9e395f,00cdc4ef-2083-4d1e-9324-66f7de9e395f,Point,62.415739,17.278357,
,Finland,Northern Savonia,Siilinjärvi,operating,no,yes,,22,61,93,155,,,europe,,,https://openskimap.org/?obj=00d051c6-2dfd-4048-83ea-34fe9249ef78,00d051c6-2dfd-4048-83ea-34fe9249ef78,Point,63.061881,27.633501,
,Norway,Nordland,,operating,no,yes,,2,18,27,45,,,europe,,,https://openskimap.org/?obj=00d237ff-9cb1-4bb1-887f-0db4a8dca8b7,00d237ff-9cb1-4bb1-887f-0db4a8dca8b7,Point,66.295598,13.564570,
A-X/Across Shigenobu (アクロス重信),Japan,Ehime Prefecture,,abandoned,yes,no,,,,,,,,japan,,,https://openskimap.org/?obj=00d24f608c13e6dff68c00da04e8fb71d5eae150,00d24f608c13e6dff68c00da04e8fb71d5eae150,Point,33.811757,132.871623,https://www.skimap.org/SkiAreas/view/1788
Ski Civetta,Italy,Belluno,Zoldo Alto,operating,yes,no,53,,1095,983,2078,27,14,europe,,https://www.skicivetta.com/,https://openskimap.org/?obj=00e3880c19b3ca1bb412d2274d3c15bf4a2598f9,00e3880c19b3ca1bb412d2274d3c15bf4a2598f9,Point,46.407543,12.075276,https://www.openstreetmap.org/relation/9752774 https://www.skimap.org/SkiAreas/view/4407
Valle Fura,Italy,L'Aquila,,operating,yes,no,6,,300,1455,1755,5,3,europe,,https://www.impiantivallefura.it/,https://openskimap.org/?obj=00f4e89f9a85eb2d4b489c7cd34ba08421a87486,00f4e89f9a85eb2d4b489c7cd34ba08421a87486,Point,41.888069,14.053511,https://www.openstreetmap.org/relation/3955948 https://www.skimap.org/SkiAreas/view/4496
,Finland,North Karelen,Joensuu,operating,no,yes,,25,31,77,108,,,europe,,,https://openskimap.org/?obj=00f68f2b-80ed-4026-a4f0-8624ab478c25,00f68f2b-80ed-4026-a4f0-8624ab478c25,Point,62.583901,29.815444,
,Latvia,Ādaži,,operating,no,yes,,1,1,5,6,,,europe,,,https://openskimap.org/?obj=00f72e18-88b5-4e15-b3f1-c73b1b695096,00f72e18-88b5-4e15-b3f1-c73b1b695096,Point,57.078104,24.337613,
,Norway,Innlandet,,operating,no,yes,,30,214,663,877,,,europe,,,https://openskimap.org/?obj=01006ba1-b08b-4a50-a2fb-4bc537dbd032,01006ba1-b08b-4a50-a2fb-4bc537dbd032,Point,62.155255,11.961248,
,Sweden,Orebro,,operating,no,yes,,15,21,42,63,,,europe,,,https://openskimap.org/?obj=0116f15c-0f23-43e7-abcf-05732a3eccdc,0116f15c-0f23-43e7-abcf-05732a3eccdc,Point,59.297001,15.130362,
Rauschberg (Ruhpolding),Germany,Bavaria,Ruhpolding,abandoned,yes,no,,,921,708,1629,1,,europe,,,https://openskimap.org/?obj=0119ba4092be4b1c3950b0d13be0217f2473bf34,0119ba4092be4b1c3950b0d13be0217f2473bf34,Point,47.732570,12.683371,https://www.skimap.org/SkiAreas/view/16617
,Canada,Saskatchewan,Humboldt No. 370,operating,no,yes,,17,26,555,581,,,north_america,,,https://openskimap.org/?obj=0123d1cf-87ee-47b0-bfb1-a0c9388ad7a4,0123d1cf-87ee-47b0-bfb1-a0c9388ad7a4,Point,52.262281,-105.293063,
Kitsumkalum,Canada,British Columbia,,abandoned,yes,no,,,,,,,,north_america,,https://www.facebook.com/groups/48182677500/about,https://openskimap.org/?obj=01253e593b3924f332c08ede89e89a9c66a364c0,01253e593b3924f332c08ede89e89a9c66a364c0,Point,54.556834,-128.695393,https://www.skimap.org/SkiAreas/view/2130
Skeetawk,United States,Alaska,Fishhook,operating,yes,no,3,,85,444,529,1,,north_america,,https://skeetawk.com/,https://openskimap.org/?obj=0132cfcb14305f78fa2c8506aaa8b41f83d017ed,0132cfcb14305f78fa2c8506aaa8b41f83d017ed,Polygon,61.743275,-149.237603,https://www.openstreetmap.org/way/934351305 https://www.skimap.org/SkiAreas/view/3003
Plymouth Notch,United States,Vermont,,operating,yes,no,0,,32,696,728,1,,north_america,,https://www.skithenotch.com/,https://openskimap.org/?obj=0142a50b7da1cfd4d92350145fda2eef07767784,0142a50b7da1cfd4d92350145fda2eef07767784,Polygon,43.531762,-72.749597,https://www.openstreetmap.org/way/1092913567 https://www.skimap.org/SkiAreas/view/1090
,Poland,Lesser Poland Voivodeship,,operating,yes,no,0,,28,350,378,1,1,europe,,,https://openskimap.org/?obj=0142bc9c-97df-4199-88ca-bbb874c05682,0142bc9c-97df-4199-88ca-bbb874c05682,Point,49.610446,21.204884,
,Finland,North Karelen,,operating,no,yes,,9,22,103,125,,,europe,,,https://openskimap.org/?obj=01432494-a606-43c2-a0fd-068c9f220b29,01432494-a606-43c2-a0fd-068c9f220b29,Point,62.444605,30.236453,
